country,obesity,PPC,KCAL ,div,poverty,consumption,popdens,OECD
Switzerland,18.4,57610.6,3469.4,76,0,8.890514403,207.1548993,1
Syria,22.2,4258,3120.8,37.4,32,39.9,105.2097936,0
Tajikistan,12.7,2486.1,2106.4,36.2,38.89,57.6,60.06882274,0
Tanzania,6.2,2350.4,2136.2,40.2,76.1,38.5,59.0215893,0
Thailand,7.4,15326.86,2760.8,49.2,1.218,25.36339429,133.8546184,0
Togo,6.9,1371.82,2323.8,27.4,74.532,28.67,132.9454716,0
Tunisia,25.6,10721.54,3335.6,47.4,8.4,28.1,71.7328051,0
Turkey,28,18732.98,3641.8,50.8,3.278,26.1920243,100.0927006,1
Uganda,4.2,1787.86,2257.8,54.6,64.292,27.15,193.8227558,0
Ukraine,19.3,8301.26,3180.8,57.4,0.122,37.70184286,78.20232218,0
United Arab Emirates,35.6,72758,3233,57.2,0,13.91,108.6160215,0
United Kingdom,26.5,39135.4,3430,68.4,0,8.85368166,267.1567081,1
United States,32.2,52876.86,3680.4,75.4,0,6.7398078,34.82492056,1
Uruguay,25,19714.72,2864.6,53.4,1.592,26.0566,19.54049366,0
Uzbekistan,14.4,5121.86,2633.4,41.6,15.2,58.1,72.36586742,0
Venezuela,23.9,17797.9,2884,59.4,14.9,32.18247,34.84442356,0
Vietnam,3,5240.06,2728.8,37,14.706,39.168,298.4069146,0
Yemen,16.3,3601.94,2138.8,37.4,12.7,44.01378718,49.71230865,0
Zambia,7.8,3899.18,1899.6,26,78.876,53.48,21.02963397,0
